-93,-95,-79,-56
-92,-95,-76,-58
-87,-94,-76,-58
-89,-94,-76,-57
-89,-94,-77,-59
-88,-93,-75,-65
-93,-93,-76,-63
-94,-94,-77,-62
-91,-94,-78,-66
-92,-93,-78,-67
-88,-93,-74,-73
-91,-91,-70,-74
-90,-92,-72,-73
-96,-92,-74,-71
-88,-93,-76,-70
-88,-91,-72,-70
-91,-91,-73,-70
-97,-92,-73,-71
-92,-94,-75,-73
-89,-93,-76,-74
-89,-91,-71,-72
-87,-89,-72,-71
-87,-89,-73,-71
-90,-89,-71,-70
-95,-92,-72,-68
-87,-92,-76,-69
-90,-93,-74,-71
-93,-93,-73,-72
-93,-92,-71,-72
-85,-92,-71,-71
-92,-92,-68,-66
-87,-92,-71,-67
-97,-92,-72,-66
-89,-92,-75,-65
-89,-93,-76,-64
-86,-92,-74,-61
-92,-93,-72,-64
-92,-91,-75,-64
-92,-91,-74,-63
-95,-92,-67,-60
-95,-91,-75,-66
-90,-90,-65,-65
-94,-90,-69,-64
-94,-89,-70,-63
-88,-88,-71,-52
-91,-91,-75,-64
-92,-93,-72,-67
-87,-91,-73,-69
-95,-91,-72,-67
-88,-91,-76,-64
-90,-93,-75,-68
-90,-92,-72,-69
-90,-91,-72,-70
-86,-91,-71,-70
-91,-92,-72,-69
-96,-92,-72,-70
-84,-92,-71,-73
-90,-91,-70,-72
-93,-92,-69,-70
-97,-92,-71,-69
-89,-90,-70,-72
-83,-89,-68,-73
-90,-89,-68,-70
-90,-92,-68,-68
-83,-89,-71,-71
-92,-90,-71,-70
-90,-91,-72,-68
-91,-93,-71,-66
-82,-92,-72,-65
-89,-91,-73,-66
-85,-90,-71,-70
-84,-88,-70,-68
-94,-89,-71,-69
-86,-90,-71,-65
-90,-89,-71,-64
-86,-88,-72,-72
-83,-87,-71,-71
-90,-87,-71,-73
-90,-88,-72,-72
-89,-89,-73,-66
-86,-84,-71,-71
-89,-84,-70,-71
-86,-84,-69,-73
-92,-86,-71,-71
-96,-87,-73,-69
-89,-86,-66,-71
-93,-87,-67,-67
-87,-88,-68,-67
-93,-88,-71,-65
-84,-89,-70,-65
-82,-86,-65,-71
-88,-85,-66,-73
-87,-77,-66,-71
-90,-78,-66,-73
-91,-81,-66,-72
-90,-86,-70,-70
-85,-87,-69,-69
-81,-85,-66,-70
-86,-85,-65,-69
-89,-86,-69,-66
-86,-84,-69,-71
-79,-84,-68,-71
-84,-82,-70,-71
-86,-82,-66,-71
-86,-83,-66,-70
-91,-83,-65,-69
-79,-83,-62,-69
-87,-84,-63,-68
-83,-85,-65,-69
-87,-84,-69,-70
-84,-82,-61,-69
-93,-85,-65,-66
-88,-84,-65,-67
-89,-83,-68,-67
-91,-84,-66,-67
-87,-82,-61,-74
-85,-81,-58,-76
-93,-83,-60,-76
-83,-85,-65,-73
-88,-82,-67,-71
-79,-74,-60,-75
-82,-77,-54,-77
-96,-77,-52,-76
-81,-80,-53,-75
-88,-81,-55,-74
-84,-74,-65,-70
-81,-72,-62,-69
-82,-71,-61,-69
-89,-73,-58,-69
-87,-76,-60,-68
-83,-83,-68,-70
-85,-82,-72,-71
-89,-82,-71,-71
-88,-81,-71,-71
-85,-79,-69,-71
-82,-83,-67,-67
-91,-83,-69,-69
-82,-83,-71,-71
-86,-82,-69,-71
-84,-83,-67,-67
-74,-80,-72,-74
-79,-80,-69,-65
-80,-81,-69,-67
-85,-79,-66,-69
-83,-81,-66,-69
-88,-81,-70,-75
